,Gmt time,Open,High,Low,Close,Volume,Close_7,True_Close_7,buy_profit,sell_profit
69.0,11.03.2011 00:00:00.000,1.38002,1.3914,1.3752,1.39006,174092.2656,1.392785,1.41678,0.026719999999999855,0.0
78.0,20.03.2011 00:00:00.000,1.41718,1.41959,1.41661,1.41678,41526.0117,1.4133373,1.40726,0.0,0.009519999999999973
80.0,22.03.2011 00:00:00.000,1.42165,1.4248,1.41626,1.41677,163186.5156,1.4149284,1.41269,0.0,0.0040800000000000836
92.0,03.04.2011 00:00:00.000,1.42335,1.42423,1.42169,1.42341,16652.6406,1.4223896,1.4423,0.0,-0.01888999999999985
94.0,05.04.2011 00:00:00.000,1.4205,1.42453,1.41514,1.42314,156557.6563,1.422557,1.44512,0.0,-0.02197999999999989
95.0,06.04.2011 00:00:00.000,1.42312,1.43489,1.42277,1.43239,172103.9844,1.4296246,1.45006,0.0,-0.017669999999999852
96.0,07.04.2011 00:00:00.000,1.43243,1.43248,1.42441,1.42974,184310.4375,1.4283737,1.44285,0.0,-0.013109999999999955
97.0,08.04.2011 00:00:00.000,1.42974,1.44872,1.4291,1.44782,169747.9531,1.4390641,1.43959,0.0,0.008230000000000182
109.0,20.04.2011 00:00:00.000,1.43641,1.45441,1.43546,1.4518,212623.9844,1.4410276,1.48402,0.0,-0.032219999999999915
116.0,27.04.2011 00:00:00.000,1.47045,1.47951,1.46324,1.47873,194394.3438,1.4499332,1.45577,0.0,0.02296000000000009
117.0,28.04.2011 00:00:00.000,1.47873,1.48788,1.47725,1.48402,195451.3125,1.4519045,1.43205,0.0,0.05196999999999985
125.0,06.05.2011 00:00:00.000,1.45568,1.45873,1.43096,1.43205,268816.6563,1.4234422,1.4066,0.0,0.025449999999999973
145.0,26.05.2011 00:00:00.000,1.40685,1.42061,1.40679,1.41436,255201.0156,1.4374304,1.46355,0.049189999999999845,0.0
155.0,05.06.2011 00:00:00.000,1.46336,1.46566,1.46041,1.46522,34589.2188,1.4488128,1.44144,0.0,0.023779999999999912
173.0,23.06.2011 00:00:00.000,1.43304,1.4333,1.41268,1.42614,226920.2969,1.4353555,1.45226,0.026120000000000143,0.0
178.0,28.06.2011 00:00:00.000,1.43106,1.43966,1.4237,1.43571,229455.0938,1.4400588,1.43349,-0.0022200000000001108,0.0
195.0,15.07.2011 00:00:00.000,1.41614,1.4192,1.40923,1.41484,228674.8281,1.4274782,1.43664,0.02179999999999982,0.0
197.0,17.07.2011 00:00:00.000,1.41495,1.41578,1.41026,1.41259,21419.9297,1.422476,1.4373,0.02471000000000001,0.0
200.0,20.07.2011 00:00:00.000,1.417,1.42738,1.4133,1.42603,245330.8438,1.4334548,1.43264,0.006610000000000005,0.0
201.0,21.07.2011 00:00:00.000,1.42603,1.44367,1.4139,1.44077,288477.5313,1.4410292,1.43972,-0.0010499999999999954,0.0
204.0,24.07.2011 00:00:00.000,1.43566,1.4416,1.43522,1.43664,28188.6992,1.4396354,1.42724,-0.009399999999999853,0.0
206.0,26.07.2011 00:00:00.000,1.4373,1.45251,1.43571,1.45077,249684.6563,1.4406195,1.43492,0.0,0.01584999999999992
207.0,27.07.2011 00:00:00.000,1.45076,1.45353,1.43395,1.43608,248531.2969,1.4338845,1.40749,0.0,0.028590000000000115
220.0,09.08.2011 00:00:00.000,1.41758,1.43962,1.4152,1.43541,375181.0313,1.4367635,1.44278,0.007369999999999877,0.0
226.0,15.08.2011 00:00:00.000,1.42833,1.44727,1.42637,1.44373,265140.0938,1.4399203,1.44377,0.0,-4.0000000000040004e-05
234.0,23.08.2011 00:00:00.000,1.4357,1.44995,1.4357,1.44377,222539.1406,1.4334452,1.43634,0.0,0.007430000000000048
244.0,02.09.2011 00:00:00.000,1.4266,1.42873,1.41838,1.42035,206422.7188,1.4272363,1.35826,-0.06208999999999998,0.0
248.0,06.09.2011 00:00:00.000,1.40686,1.42347,1.39741,1.40091,243710.125,1.4149313,1.37478,-0.02613000000000021,0.0
256.0,14.09.2011 00:00:00.000,1.36819,1.37816,1.35907,1.37478,281383.2188,1.364856,1.35043,0.0,0.024349999999999872
258.0,16.09.2011 00:00:00.000,1.38803,1.38813,1.37537,1.37914,225582.2344,1.3711333,1.35162,0.0,0.02751999999999999
263.0,21.09.2011 00:00:00.000,1.37056,1.37869,1.35571,1.35773,276432.5,1.3476325,1.35951,0.0,-0.0017799999999998928
275.0,03.10.2011 00:00:00.000,1.33571,1.33811,1.31639,1.31899,294101.875,1.3364538,1.3633,0.04430999999999985,0.0
277.0,05.10.2011 00:00:00.000,1.33168,1.33826,1.32599,1.3345,292739.8438,1.3458983,1.3752,0.04069999999999996,0.0
288.0,16.10.2011 00:00:00.000,1.38746,1.38869,1.38588,1.38728,28611.9297,1.3969963,1.39192,0.0046399999999999775,0.0
296.0,24.10.2011 00:00:00.000,1.38498,1.39561,1.38224,1.39192,248021.1719,1.3897941,1.36544,0.0,0.02648000000000006
298.0,26.10.2011 00:00:00.000,1.38996,1.39694,1.37996,1.38849,254112.7344,1.3878311,1.38221,0.0,0.006280000000000063
307.0,04.11.2011 00:00:00.000,1.3822,1.38653,1.37129,1.37887,251946.0,1.3760822,1.37844,0.0,0.00042999999999993044
333.0,30.11.2011 00:00:00.000,1.33228,1.353,1.32593,1.3442,254415.8281,1.3447682,1.33455,-0.009650000000000158,0.0
338.0,05.12.2011 00:00:00.000,1.34156,1.34856,1.33761,1.33864,193557.0938,1.3440194,1.30184,-0.036799999999999944,0.0
341.0,08.12.2011 00:00:00.000,1.3399,1.34561,1.32888,1.33455,217281.0156,1.3359743,1.30395,-0.03059999999999996,0.0
362.0,29.12.2011 00:00:00.000,1.29245,1.29637,1.28581,1.2952,242993.8438,1.2936604,1.27205,0.0,0.023150000000000004
369.0,05.01.2012 00:00:00.000,1.29302,1.29434,1.27723,1.27915,310670.7188,1.2826688,1.26768,-0.011470000000000091,0.0
374.0,10.01.2012 00:00:00.000,1.27722,1.28172,1.27427,1.27528,292652.5625,1.2795926,1.28636,0.011079999999999979,0.0
380.0,16.01.2012 00:00:00.000,1.26471,1.26873,1.26262,1.26659,228914.9375,1.2704749,1.30347,0.0368799999999998,0.0
381.0,17.01.2012 00:00:00.000,1.26659,1.28042,1.26644,1.2746,282957.5625,1.2785238,1.31054,0.03594000000000008,0.0
390.0,26.01.2012 00:00:00.000,1.31054,1.31795,1.30893,1.30895,262064.4063,1.3059765,1.31566,0.0,-0.006709999999999994
