,Gmt time,Open,High,Low,Close,Volume
1,02.01.2011 00:00:00.000,1.33674,1.33696,1.33235,1.33557,19990.5703
2,03.01.2011 00:00:00.000,1.3356,1.33947,1.325,1.33551,157568.2031
3,04.01.2011 00:00:00.000,1.33566,1.34298,1.32923,1.33179,204002.5625
4,05.01.2011 00:00:00.000,1.33181,1.33248,1.31262,1.31556,192261.7031
5,06.01.2011 00:00:00.000,1.31556,1.31698,1.29723,1.29787,175000.0625
6,07.01.2011 00:00:00.000,1.29787,1.30209,1.29025,1.29034,174208.1406
8,09.01.2011 00:00:00.000,1.29054,1.29175,1.28638,1.2894,28423.0801
9,10.01.2011 00:00:00.000,1.28947,1.29658,1.28739,1.29637,152359.2969
10,11.01.2011 00:00:00.000,1.29637,1.29905,1.2907,1.29807,184797.0
11,12.01.2011 00:00:00.000,1.2982,1.31428,1.29621,1.31261,187904.0625
12,13.01.2011 00:00:00.000,1.31256,1.33829,1.30886,1.33506,184661.7813
13,14.01.2011 00:00:00.000,1.33506,1.34521,1.33142,1.33865,177527.0938
15,16.01.2011 00:00:00.000,1.33854,1.34031,1.33551,1.33784,25342.0605
16,17.01.2011 00:00:00.000,1.33784,1.33791,1.32441,1.32809,157329.4063
17,18.01.2011 00:00:00.000,1.32809,1.34622,1.32527,1.33776,210909.5625
18,19.01.2011 00:00:00.000,1.33776,1.35379,1.33761,1.34515,215687.4063
19,20.01.2011 00:00:00.000,1.34515,1.35218,1.33958,1.3465,227708.0469
20,21.01.2011 00:00:00.000,1.34649,1.36247,1.34485,1.36191,198023.9844
22,23.01.2011 00:00:00.000,1.36118,1.36437,1.35893,1.36187,26262.7891
23,24.01.2011 00:00:00.000,1.36188,1.36852,1.35407,1.36423,181589.3438
24,25.01.2011 00:00:00.000,1.36425,1.37038,1.35742,1.36846,214800.875
25,26.01.2011 00:00:00.000,1.36845,1.37212,1.36449,1.37097,182469.0625
26,27.01.2011 00:00:00.000,1.371,1.37572,1.36385,1.37216,177064.7969
27,28.01.2011 00:00:00.000,1.37217,1.37458,1.35831,1.36046,166366.0469
29,30.01.2011 00:00:00.000,1.36067,1.36118,1.3571,1.35715,26385.6309
30,31.01.2011 00:00:00.000,1.35715,1.37391,1.35699,1.37135,194798.4688
31,01.02.2011 00:00:00.000,1.3713,1.38422,1.37004,1.38282,203777.125
